Date,open,high,low,close,Volume,Volume MA,Volume,Volume MA
1696528800,1.05378,1.05517,1.05378,1.05511,4047,4451.45,4047,4451.45
1696532400,1.05511,1.05517,1.05448,1.05497,2716,4547.45,2716,4547.45
1696536000,1.05497,1.05518,1.05481,1.0551,1001,4480.7,1001,4480.7
1696539600,1.0551,1.0551,1.05482,1.05492,667,4342.75,667,4342.75
1696543200,1.05492,1.0551,1.05482,1.05482,495,4276.75,495,4276.75
1696546800,1.05482,1.05486,1.05463,1.05464,587,4209.75,587,4209.75
1696550400,1.05464,1.0548,1.05414,1.05418,2351,4221.55,2351,4221.55
1696554000,1.05418,1.05448,1.05383,1.05432,3083,4261.3,3083,4261.3
1696557600,1.05432,1.05476,1.05415,1.05449,1920,4191.8,1920,4191.8
1696561200,1.05449,1.05464,1.05404,1.05424,1770,4022.85,1770,4022.85
1696564800,1.05424,1.05446,1.054,1.05405,1696,3863.65,1696,3863.65
1696568400,1.05405,1.05418,1.05335,1.05352,1685,3736.9,1685,3736.9
1696572000,1.05352,1.05404,1.05316,1.05348,3151,3687.85,3151,3687.85
1696575600,1.05348,1.05512,1.0534,1.05501,4977,3720.45,4977,3720.45
1696579200,1.05501,1.05534,1.05422,1.05484,4669,3545.7,4669,3545.7
1696582800,1.05484,1.05577,1.05458,1.05529,3993,3238.4,3993,3238.4
1696586400,1.05529,1.05636,1.05528,1.05547,3940,2993.6,3940,2993.6
1696590000,1.05547,1.05674,1.05505,1.0566,3554,2811.6,3554,2811.6
1696593600,1.0566,1.05685,1.04824,1.04963,14877,3277.15,14877,3277.15
1696597200,1.04963,1.05228,1.04884,1.05119,14327,3775.3,14327,3775.3
1696600800,1.05119,1.05555,1.05052,1.05378,10813,4113.6,10813,4113.6
1696604400,1.05378,1.06002,1.05361,1.05948,10557,4505.65,10557,4505.65
1696608000,1.05948,1.05954,1.05756,1.05793,6126,4761.9,6126,4761.9
1696611600,1.05793,1.05924,1.05772,1.05882,3657,4911.4,3657,4911.4
1696615200,1.05882,1.05997,1.05871,1.05935,2760,5024.65,2760,5024.65
1696618800,1.05935,1.05963,1.05888,1.05896,2892,5139.9,2892,5139.9
1696622400,1.05896,1.05898,1.05824,1.05872,1705,5107.6,1705,5107.6
1696798800,1.05872,1.05872,1.05501,1.0558,482,4977.55,482,4977.55
1696802400,1.0558,1.05639,1.05504,1.05584,2908,5026.95,2908,5026.95
