time,open,high,low,close,Volume,Volume MA,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Plot,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1578596400,1.11051,1.11099,1.11051,1.11061,NaN,NaN,42.77088379426417,41.20784429355807,NaN,NaN,50,NaN,NaN,NaN,NaN
1578600000,1.11061,1.11074,1.11039,1.11063,NaN,NaN,42.983227451188164,41.5920464182359,NaN,NaN,50,NaN,NaN,NaN,NaN
1578603600,1.11063,1.11071,1.11036,1.1106,NaN,NaN,42.7271319568848,41.70153927224799,NaN,NaN,50,NaN,NaN,NaN,NaN
1578607200,1.1106,1.11077,1.11032,1.11068,NaN,NaN,43.69059981858747,41.70183413875788,NaN,NaN,50,NaN,NaN,NaN,NaN
1578610800,1.11068,1.11094,1.11066,1.11094,NaN,NaN,46.821658000590006,42.82717086056978,NaN,NaN,50,NaN,NaN,46.821658000590006,NaN
1578614400,1.11094,1.11095,1.11063,1.11071,NaN,NaN,44.46617908648894,43.03932426297656,NaN,NaN,50,NaN,NaN,NaN,NaN
1578618000,1.11071,1.11074,1.11022,1.11043,NaN,NaN,41.71487699423022,43.27011041463128,NaN,NaN,50,41.71487699423022,NaN,NaN,NaN
1578621600,1.11043,1.11084,1.11037,1.11082,NaN,NaN,46.664958627098216,43.31353322827509,NaN,NaN,50,NaN,NaN,NaN,NaN
1578625200,1.11082,1.11088,1.11073,1.11082,NaN,NaN,46.664958627098216,43.2773656742145,NaN,NaN,50,NaN,NaN,NaN,NaN
1578628800,1.11082,1.11111,1.11066,1.11077,NaN,NaN,46.083029057645966,43.52382161357655,NaN,NaN,50,NaN,NaN,NaN,NaN
1578632400,1.11077,1.11103,1.11073,1.11091,NaN,NaN,48.036992934124214,44.16051226862755,NaN,NaN,50,NaN,NaN,NaN,NaN
1578636000,1.11091,1.11102,1.11068,1.11093,NaN,NaN,48.325102258636996,44.58504172456303,NaN,NaN,50,NaN,NaN,48.325102258636996,NaN
1578639600,1.11093,1.11113,1.11043,1.11071,NaN,NaN,45.346682350896224,44.86144288150083,NaN,NaN,50,NaN,NaN,NaN,NaN
1578643200,1.11071,1.11094,1.10937,1.10995,NaN,NaN,36.88845736476149,44.513195594463944,NaN,NaN,50,NaN,NaN,NaN,NaN
1578646800,1.10995,1.11,1.10914,1.10963,NaN,NaN,34.01182281845138,43.887548381905894,NaN,NaN,50,NaN,NaN,NaN,NaN
1578650400,1.10963,1.10985,1.10903,1.10925,NaN,NaN,30.92751622095915,43.02642615117525,NaN,NaN,50,30.92751622095915,NaN,NaN,NaN
1578654000,1.10925,1.10963,1.10852,1.10932,NaN,NaN,32.14815847825493,42.27078518841597,NaN,NaN,50,NaN,NaN,NaN,NaN
1578657600,1.10932,1.10994,1.10918,1.10985,NaN,NaN,40.69382180106834,42.05672961573604,NaN,NaN,50,NaN,NaN,NaN,NaN
1578661200,1.10985,1.11137,1.109,1.10968,NaN,NaN,38.99723647351789,41.49784236380232,NaN,NaN,50,NaN,NaN,NaN,NaN
1578664800,1.10968,1.11035,1.10863,1.11008,NaN,NaN,44.8260123257165,41.52354473803286,NaN,NaN,50,NaN,NaN,NaN,NaN
1578668400,1.11008,1.11179,1.10983,1.11128,NaN,NaN,57.84054942026414,42.67537848274957,NaN,NaN,50,NaN,NaN,NaN,NaN
1578672000,1.11128,1.11205,1.11112,1.11182,NaN,NaN,62.16548569116638,43.78255898732588,NaN,NaN,50,NaN,NaN,NaN,NaN
1578675600,1.11182,1.11293,1.11181,1.11225,NaN,NaN,65.22473322960829,45.10825717321945,NaN,NaN,50,NaN,NaN,65.22473322960829,NaN
1578679200,1.11225,1.11233,1.11185,1.11187,NaN,NaN,60.56413367011527,46.14262178839583,NaN,NaN,50,NaN,NaN,NaN,NaN
1578682800,1.11187,1.11233,1.11173,1.11221,NaN,NaN,63.10442630864967,47.218867029433355,NaN,NaN,50,NaN,NaN,NaN,NaN
1578686400,1.11221,1.11222,1.11195,1.11212,NaN,NaN,61.966542534314854,48.1932556205532,NaN,NaN,50,NaN,NaN,NaN,NaN
1578690000,1.11212,1.11227,1.11172,1.11172,NaN,NaN,57.043366182847556,49.02873303712115,NaN,NaN,50,NaN,NaN,NaN,NaN
1578866400,1.11172,1.11211,1.1113,1.11172,NaN,NaN,57.043366182847556,50.46836938127016,NaN,NaN,50,NaN,NaN,NaN,NaN
1578870000,1.11172,1.11184,1.11151,1.11163,NaN,NaN,55.884766374648954,52.030722492427124,NaN,NaN,50,55.884766374648954,NaN,NaN,NaN
